source_file,problem,path,nvars,nconstraints,N,candidate_state_space_size,solver,first_feasible_status,time_to_first_feasible_sec,first_feasible_objective,first_feasible_solution,wall_sec,peak_memory_mb,error
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_c747_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_c747_0004.json,7,3,8,2097152,qaoa,feasible,32.526801354950294,144887000.0,"{""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1}",32.860691578127444,1707.6640625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_c747_0005,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_c747_0005.json,7,3,8,2097152,qaoa,feasible,32.25231426698156,144887000.0,"{""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1, ""B101058(7)"": 0}",32.590638065943494,1679.6640625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_0001.json,7,2,8,2097152,qaoa,feasible,33.25394048192538,150892000.0,"{""B100166(7)"": 0, ""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 1}",33.6236851781141,1911.7734375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_0002.json,7,2,8,2097152,qaoa,feasible,32.61387757794,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1}",33.01038196589798,1944.91015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_0003.json,7,2,8,2097152,qaoa,feasible,32.76183336088434,145944000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 1}",33.115153026999906,1947.66015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_0004.json,7,2,8,2097152,qaoa,feasible,32.910528873093426,144887000.0,"{""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1}",33.267956510186195,1917.78125,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_0005,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_0005.json,7,2,8,2097152,qaoa,feasible,33.115690030157566,144887000.0,"{""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1, ""B101058(7)"": 0}",33.4871993791312,1927.6640625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_c759_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_c759_0001.json,7,3,8,2097152,qaoa,feasible,32.7999017899856,150892000.0,"{""B100166(7)"": 0, ""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 1}",33.16758729610592,1743.6640625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c745_c747_c759_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c745_c747_c759_0002.json,7,3,8,2097152,qaoa,feasible,32.62738161790185,150892000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 1, ""B101035(7)"": 0}",33.01372886705212,1719.79296875,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c747_c759_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c747_c759_0001.json,7,2,8,2097152,qaoa,feasible,32.49937936197966,150892000.0,"{""B100166(7)"": 0, ""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 1}",32.85792522295378,1903.78515625,
