source_file,timestamp,pid,problem,problem_path,nvars,nconstraints,N,constraint_type,candidate_state_space_size,time_to_first_feasible_sec,init_elapsed_to_first_feasible_sec,first_feasible_objective,first_feasible_state,current_memory_mb,peak_memory_mb,argv
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:50+0800,12619,irp_ds_qaoa_R0002_0008,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0008.json,4,1,8,linear,4096,0.00025815097615122795,0.005256676115095615,5886900000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0008.json --worker-result /tmp/qaoa_feasible_s7j20m87/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:52+0800,12792,irp_ds_qaoa_R0002_0009,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0009.json,4,1,8,linear,4096,0.0002735729794949293,0.005863043013960123,6280850000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0009.json --worker-result /tmp/qaoa_feasible_2ga_t3xh/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:54+0800,12992,irp_ds_qaoa_R0002_0010,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0010.json,4,1,8,linear,4096,0.00025066896341741085,0.0058140691835433245,5801330000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0010.json --worker-result /tmp/qaoa_feasible_vcb97a6x/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:55+0800,13147,irp_ds_qaoa_R0002_0011,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0011.json,4,1,8,linear,4096,0.00018799398094415665,0.004069312009960413,5753300000.0,"[0, 0, 0, 1]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0011.json --worker-result /tmp/qaoa_feasible_27h5pu2_/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:56+0800,13339,irp_ds_qaoa_R0010_R0015_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0010_R0015_0001.json,4,2,8,linear,4096,0.00032733497209846973,0.003945143893361092,5627280000.0,"[0, 0, 1, 0]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0010_R0015_0001.json --worker-result /tmp/qaoa_feasible_klwotisv/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:58+0800,13493,irp_ds_qaoa_R0026_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0026_0001.json,4,1,8,linear,4096,0.0003528741654008627,0.006598345004022121,6280850000.0,"[0, 0, 0, 1]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0026_0001.json --worker-result /tmp/qaoa_feasible_u7_8u978/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:28:00+0800,13679,leo1_ds_qaoa_R0000002_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000002_0001.json,4,1,8,linear,4096,0.0005584449972957373,0.006613126955926418,3.0,"[0, 0, 1, 0]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000002_0001.json --worker-result /tmp/qaoa_feasible_mennhws4/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:28:02+0800,13857,leo1_ds_qaoa_R0000004_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0001.json,4,1,8,linear,4096,0.0008413419127464294,0.005865646991878748,6.0,"[0, 0, 2, 5]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0001.json --worker-result /tmp/qaoa_feasible_reogpou6/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:28:04+0800,14057,leo1_ds_qaoa_R0000004_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0002.json,4,1,8,linear,4096,0.0007809610106050968,0.005000198958441615,6.0,"[0, 0, 2, 7]",146.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0002.json --worker-result /tmp/qaoa_feasible_cmmqd3zq/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:28:06+0800,14224,leo1_ds_qaoa_R0000004_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0003.json,4,1,8,linear,4096,0.0022683891002088785,0.00561905512586236,4.0,"[0, 2, 0, 7]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0003.json --worker-result /tmp/qaoa_feasible_cuz36s87/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:28:08+0800,14368,leo1_ds_qaoa_R0000004_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0004.json,4,1,8,linear,4096,0.0013925449457019567,0.006358722923323512,15.0,"[0, 0, 5, 0]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0004.json --worker-result /tmp/qaoa_feasible_vgp9ww20/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:28:09+0800,14548,leo1_ds_qaoa_R0000004_0009,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0009.json,4,1,8,linear,4096,0.0004629199393093586,0.0038137559313327074,6.0,"[0, 0, 2, 3]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/leo1_ds_qaoa_R0000004_0009.json --worker-result /tmp/qaoa_feasible_g_y34bj3/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
